Date,Activity,Team,Owner,Priority,Status,Notes
Week 1 Day 1,Finalize doctor and patient pitch,Marketing,,P0,Not Started,
Week 1 Day 1,Fix production build blocker,Tech,,P0,Not Started,
Week 1 Day 2,Start doctor outreach list,Marketing,,P0,Not Started,
Week 1 Day 2,Review Supabase RLS policies,Tech,,P0,Not Started,
Week 1 Day 3,Contact first 20 doctors,Marketing,,P0,Not Started,
Week 1 Day 3,Verify auth and role flows,Tech,,P0,Not Started,
Week 1 Day 4,Clinic visits and follow-ups,Marketing,,P1,Not Started,
Week 1 Day 4,Fix critical dependency vulnerabilities,Tech,,P0,Not Started,
Week 1 Day 5,Create first doctor announcement posts,Marketing,,P1,Not Started,
Week 1 Day 5,Run build lint and unit tests,Tech,,P0,Not Started,
Week 2 Day 1,Soft launch with selected groups,Marketing,,P1,Not Started,
Week 2 Day 1,Run doctor flow QA,Tech,,P0,Not Started,
Week 2 Day 2,Publish Meet Our Doctors content,Marketing,,P1,Not Started,
Week 2 Day 2,Run patient booking QA,Tech,,P0,Not Started,
Week 2 Day 3,Collect doctor testimonials,Marketing,,P1,Not Started,
Week 2 Day 3,Review AI safety and disclaimers,Tech,,P0,Not Started,
Week 2 Day 4,Reach out to partners,Marketing,,P2,Not Started,
Week 2 Day 4,Review RAG citations and source safety,Tech,,P0,Not Started,
Week 2 Day 5,Prepare launch assets,Marketing,,P0,Not Started,
Week 2 Day 5,Prepare staging deployment,Tech,,P0,Not Started,
Week 3 Day 1,Public launch post,Marketing,,P0,Not Started,
Week 3 Day 1,Launch monitoring active,Tech,,P0,Not Started,
Week 3 Day 2,Founder launch post,Marketing,,P1,Not Started,
Week 3 Day 2,Watch errors and user issues,Tech,,P0,Not Started,
Week 3 Day 3,Doctor repost push,Marketing,,P1,Not Started,
Week 3 Day 3,Fix launch bugs,Tech,,P0,Not Started,
Week 3 Day 4,Influencer/local page outreach,Marketing,,P2,Not Started,
Week 3 Day 4,Review conversion/dropoff points,Tech,,P1,Not Started,
Week 3 Day 5,Referral campaign push,Marketing,,P1,Not Started,
Week 3 Day 5,Prepare launch report metrics,Tech,,P1,Not Started,
Week 4 Day 1,Follow up with all warm doctors,Marketing,,P0,Not Started,
Week 4 Day 1,Stabilize top bugs,Tech,,P0,Not Started,
Week 4 Day 2,Publish testimonials,Marketing,,P1,Not Started,
Week 4 Day 2,Improve performance bottlenecks,Tech,,P1,Not Started,
Week 4 Day 3,Run small paid ad test,Marketing,,P2,Not Started,
Week 4 Day 3,Review security audit again,Tech,,P0,Not Started,
Week 4 Day 4,Partnership follow-ups,Marketing,,P2,Not Started,
Week 4 Day 4,Prepare next release plan,Tech,,P1,Not Started,
Week 4 Day 5,Monthly review and next month plan,All,,P0,Not Started,
